spkid,full_name,diameter,name,velocity,energy,per,moid,pdes,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per_y,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
20005836,  5836 (1993 MF),2.754,,19.070709700505226,5.966441676407436e+21,1.39e+03,0.18,5836,,Y,N,0,14.99,,,,,,,,0.156,4.9543,,,,,S,,,0.81,383,2461000.5,61000,2025-11-21.0,J2000,0.5383,2.439,1.126,7.93,238.59,78.15,162.94,3.75,0.2588,2460370.82,2024-03-01.3,3.81,69.9,1.7,3.28,1.7e-09,1.4e-09,4.1e-09,1.3e-07,1.6e-06,1.5e-06,6.3e-07,2.1e-09,2.2e-10,2.0e-06,1.2e-06,AMO,Otto Matic,15979,1981-04-26,2025-01-24,2340,,,0,.49987,,,,,,,,,
20172034,172034 (2001 WR1),0.631,,26.355866968642346,1.370668943419189e+20,527,0.0751,172034,,Y,N,0,17.84,,,,,,,,0.336,8.0475,,,,,,,,0.02,180,2461000.5,61000,2025-11-21.0,J2000,0.2025,1.277,1.019,25.03,6.50,48.56,215.91,1.54,0.6828,2461211.53,2026-06-20.0,1.44,29.2,3.85,4.95,2.6e-09,7.1e-10,2.9e-09,4.8e-07,3.0e-07,1.0e-06,2.8e-06,8.5e-10,5.7e-10,4.3e-06,4.4e-07,AMO,Otto Matic,26081,1953-02-14,2024-07-12,981,,,0,.49211,,,,,,,,,
20162483,162483 (2000 PJ5),0.906,,31.881611656649287,5.936835414500997e+20,298,0.174,162483,,Y,N,1,17.53,,,,,,,,0.236,2.642,,,,,,,,0.01,133,2461000.5,61000,2025-11-21.0,J2000,0.3737,0.8727,0.547,51.18,124.41,7.65,145.73,1.20,1.209,2460879.95,2025-07-23.4,0.815,67.9,3.89,6.44,1.3e-09,4.1e-10,1.4e-09,2.3e-07,2.2e-07,3.5e-07,2.3e-06,5.6e-10,8.5e-10,1.8e-06,2.1e-07,ATE,Otto Matic,8412,2000-08-04,2023-08-16,874,,,0,.53879,,,,,,,,,
20025330, 25330 (1999 KV4),3.21,,23.99227529704679,1.4953672008952806e+22,698,0.173,25330,,Y,N,0,16.74,,,,,,,,0.052,4.919,,,,,B,,,,JPL 452,2461000.5,61000,2025-11-21.0,J2000,0.3709,1.541,0.969,14.33,50.51,86.10,335.29,2.11,0.5154,2461048.44,2026-01-07.9,1.91,67.4,3.03,4.36,9.4e-09,7.9e-10,1.4e-08,3.2e-06,5.7e-06,7.9e-06,3.0e-06,1.1e-09,3.9e-10,5.9e-06,5.3e-07,APO,Otto Matic,16755,1979-11-16,2025-09-30,2813,,,0,.41217,,,,,,,,,
20450238,450238 (2002 XN40),1.25,,20.218218630080724,6.270550897978587e+20,1.17e+03,0.312,450238,,Y,N,0,18.35,,,,,,,,0.059,,,,,,,,,0.07,57,2461000.5,61000,2025-11-21.0,J2000,0.4267,2.17,1.244,25.62,270.95,216.51,38.27,3.10,0.3083,2460876.37,2025-07-19.8,3.2,121,2.23,3.45,5.5e-08,6.3e-09,1.2e-07,9.8e-06,1.4e-05,2.6e-05,1.3e-05,9.0e-09,1.3e-09,4.1e-05,5.1e-06,AMO,Otto Matic,7992,2002-12-10,2024-10-27,261,,,0,.46888,,,,,,,,,
20086326, 86326 (1999 WK13),1.348,,21.932710037534722,9.254312316318665e+20,915,0.279,86326,,Y,N,0,17.35,,,,,,,,0.098,6.36,,,,,S,,,0.03,210,2461000.5,61000,2025-11-21.0,J2000,0.3627,1.844,1.175,34.31,78.44,312.59,147.42,2.51,0.3935,2460625.88,2024-11-11.3,2.5,109,3.07,3.74,5.2e-08,1.3e-09,9.6e-08,8.2e-06,6.0e-06,7.2e-06,3.9e-06,1.8e-09,4.2e-10,9.6e-06,9.7e-07,AMO,Otto Matic,16535,1979-11-18,2025-02-24,1128,,,0,.51693,,,,,,,,,
20137099,137099 (1998 YW3),0.564,,28.397258368387075,1.1362660191305096e+20,421,0.388,137099,,Y,N,0,18.29,,,,,,,,0.291,,,,,,,,,0.02,134,2461000.5,61000,2025-11-21.0,J2000,0.4628,1.1,0.591,28.79,94.26,194.86,270.77,1.61,0.8542,2461104.96,2026-03-05.4,1.15,151,3.57,5.44,6.4e-08,2.9e-09,7.1e-08,8.0e-06,6.3e-06,1.1e-05,2.1e-05,4.2e-09,3.4e-09,2.4e-05,1.7e-06,APO,Otto Matic,8814,1998-12-17,2023-02-03,633,,,0,.55625,,,,,,,,,
20429382,429382 (2010 NW117),0.448,,19.411966186712753,2.661110911115857e+19,1.32e+03,0.112,429382,,Y,N,0,18.35,,,,,,,,0.463,,,,,,,,,0.09,86,2461000.5,61000,2025-11-21.0,J2000,0.5328,2.354,1.100,3.41,252.66,148.60,53.96,3.61,0.273,2460802.83,2025-05-07.3,3.61,43.7,1.83,3.35,5.0e-08,1.1e-08,1.1e-07,5.0e-06,1.2e-04,1.2e-04,1.0e-05,1.7e-08,2.0e-09,3.6e-05,9.6e-06,AMO,Otto Matic,6618,2004-01-18,2022-03-02,461,,,0,.49357,,,,,,,,,
20269690,269690 (1996 RG3),0.888,,21.05470743586589,2.4379635089737515e+20,1.03e+03,0.00259,269690,,Y,Y,0,18.47,,,,,,,,0.098,,,,,,,,,0.43,56,2461000.5,61000,2025-11-21.0,J2000,0.6037,2.001,0.793,3.58,158.04,300.28,76.60,3.21,0.3482,2460780.52,2025-04-15.0,2.83,1.01,2.02,3.59,2.8e-08,5.3e-09,5.7e-08,7.3e-06,9.2e-05,9.3e-05,1.2e-05,8.5e-09,1.4e-09,3.4e-05,4.1e-06,APO,Otto Matic,10195,1996-09-11,2024-08-10,245,,,0,.55239,,,,,,,,,
20749593,749593 (2014 NE3),0.233,,27.008842227888493,7.247188880870685e+18,490,0.0505,749593,,Y,N,0,20.04,,,,,,,,0.296,,,,,,,,,0.05,69,2461000.5,61000,2025-11-21.0,J2000,0.3151,1.216,0.833,25.87,120.33,278.72,101.84,1.60,0.7347,2460861.90,2025-07-05.3,1.34,19.6,3.91,5.1,5.9e-08,5.3e-09,7.2e-08,1.2e-05,7.9e-06,1.6e-05,3.3e-05,7.0e-09,4.8e-09,4.5e-05,3.2e-06,APO,Otto Matic,4624,2010-07-31,2023-03-29,261,,,0,.40977,,,,,,,,,
