"spkid","full_name","diameter","per","moid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per_y","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20001862,"  1862 Apollo (1932 HA)",1.5,652,0.026,1862,Apollo,,Y,Y,1,16.08,0.09,,,,,,,0.25,3.065,,0.819,0.481,,Q,Q,,,539,2461000.5,61000,2025-11-21.0,J2000,0.5599,1.471,0.647,6.35,35.54,286.05,113.88,2.29,0.5525,2460794.37,2025-04-28.8,1.78,10.1,3.06,4.41,1.6e-09,2.0e-10,2.4e-09,7.5e-08,8.3e-07,6.8e-07,5.7e-07,3.0e-10,1.1e-10,1.0e-06,1.3e-07,APO,Giorgini,34421,1930-12-13,2025-03-10,3473,8,9,0,.46242,,,,-3.7e-15,2.0e-16,,,,
20001863,"  1863 Antinous (1948 EA)",2.1,1.24e+03,0.187,1863,Antinous,,Y,N,0,15.46,,,,,,,,0.24,7.453,,0.763,0.359,,Sq,SU,,,239,2461000.5,61000,2025-11-21.0,J2000,0.6063,2.26,0.890,18.38,345.55,269.07,289.56,3.63,0.2901,2461243.32,2026-07-21.8,3.4,72.9,2.01,3.3,8.2e-10,1.1e-09,1.9e-09,1.1e-07,2.3e-07,3.5e-07,7.9e-07,1.8e-09,2.1e-10,2.9e-06,9.1e-07,APO,"Otto Matic",27993,1948-03-05,2024-10-25,1375,,,0,.52682,,,,,,,,,
20001864,"  1864 Daedalus (1971 FA)",3.7,645,0.269,1864,Daedalus,,Y,N,0,14.84,,,,,,,,0.273,8.572,,0.830,0.500,,Sr,SQ,,,825,2461000.5,61000,2025-11-21.0,J2000,0.6144,1.461,0.563,22.22,6.60,325.66,257.57,2.36,0.5582,2461183.99,2026-05-23.4,1.77,105,3.11,4.34,4.8e-10,3.6e-10,7.4e-10,5.6e-08,1.1e-07,1.2e-07,7.8e-07,5.9e-10,2.1e-10,1.5e-06,2.4e-07,APO,"Otto Matic",19770,1971-03-24,2025-05-09,6507,1,0,0,.33374,,,,,,,,,
20001865,"  1865 Cerberus (1971 UA)",1.2,410,0.157,1865,Cerberus,,Y,N,0,16.79,,,,,,,,0.22,6.8039,,0.790,0.442,,S,S,,,"JPL 370",2461000.5,61000,2025-11-21.0,J2000,0.4669,1.08,0.576,16.10,212.88,325.29,319.67,1.58,0.8782,2461046.42,2026-01-05.9,1.12,60.9,3.41,5.59,2.3e-09,1.1e-09,2.1e-09,7.7e-08,1.6e-07,1.9e-07,2.6e-06,1.6e-09,1.3e-09,3.0e-06,6.3e-07,APO,"Otto Matic",19679,1971-11-10,2025-09-26,2400,,,0,.45246,,,,-4.6e-15,2.0e-15,,,,
20001866,"  1866 Sisyphus (1972 XA)",8.48,952,0.104,1866,Sisyphus,,Y,N,1,12.48,,,,,,,,0.15,2.4,,,,,S,,,,1130,2461000.5,61000,2025-11-21.0,J2000,0.5381,1.893,0.875,41.21,63.45,293.10,140.66,2.91,0.3783,2460628.68,2024-11-14.1,2.61,40.3,3.25,3.51,1.2e-09,4.6e-10,2.3e-09,4.9e-08,1.2e-07,1.4e-07,3.2e-07,7.1e-10,1.4e-10,7.3e-07,3.5e-07,APO,"Otto Matic",25677,1955-01-26,2025-05-15,9672,0,1,0,.30111,,,,,,,,,
20001915,"  1915 Quetzalcoatl (1953 EA)",0.5,1.48e+03,0.109,1915,Quetzalcoatl,,Y,N,0,18.38,0.10,,,,,,,0.21,4.9,,0.784,0.430,,,SMU,,,13,2461000.5,61000,2025-11-21.0,J2000,0.5702,2.545,1.094,20.40,162.92,347.76,21.62,4.00,0.2428,2460911.46,2025-08-23.9,4.06,42.4,1.07,3.12,2.2e-07,8.2e-08,5.9e-07,6.6e-05,6.3e-05,9.2e-05,1.8e-04,1.3e-07,1.2e-08,7.5e-04,7.2e-05,AMO,"Otto Matic",24702,1953-03-09,2020-10-25,55,0,1,0,.67784,,,,,,,,,
20001916,"  1916 Boreas (1953 RA)",3.5,1.25e+03,0.252,1916,Boreas,,Y,N,0,14.92,,,,,,,,,3.4746,,0.852,0.407,,S,S,,,"JPL 456",2461000.5,61000,2025-11-21.0,J2000,0.4492,2.273,1.252,12.88,340.60,335.85,35.11,3.29,0.2877,2460878.45,2025-07-21.9,3.43,98.2,2.06,3.44,1.2e-09,8.9e-10,2.9e-09,6.7e-08,3.9e-07,4.2e-07,5.3e-07,1.3e-09,1.7e-10,1.8e-06,7.4e-07,AMO,"Otto Matic",26331,1953-09-01,2025-10-04,3465,,,0,.43501,,,,,,,,,
20001917,"  1917 Cuyo (1968 AA)",5.7,1.15e+03,0.0717,1917,Cuyo,,Y,N,0,14.38,,,,,,,,0.195,2.689,,,,,Sl,,,,645,2461000.5,61000,2025-11-21.0,J2000,0.5055,2.149,1.063,23.96,188.27,194.55,160.09,3.24,0.3128,2460488.78,2024-06-27.2,3.15,27.9,2.24,3.44,6.0e-10,1.2e-09,1.4e-09,8.1e-08,1.2e-07,2.0e-07,1.1e-06,1.8e-09,2.6e-10,3.1e-06,9.5e-07,AMO,"Otto Matic",25947,1954-05-06,2025-05-20,4115,0,2,0,.45552,,,,,,,,,
20001943,"  1943 Anteros (1973 EC)",2.3,625,0.0609,1943,Anteros,,Y,N,0,15.69,,,,,,,,0.17,2.86923,,0.841,0.444,,L,S,,,778,2461000.5,61000,2025-11-21.0,J2000,0.2559,1.431,1.064,8.71,246.29,338.44,260.37,1.80,0.576,2461173.45,2026-05-12.9,1.71,23.7,3.19,4.64,1.0e-09,3.8e-10,1.7e-09,6.2e-08,3.2e-07,3.9e-07,8.2e-07,4.8e-10,2.3e-10,1.5e-06,2.5e-07,AMO,"Otto Matic",19167,1973-03-10,2025-08-31,5768,,,0,.41318,,,,,,,,,
20001980,"  1980 Tezcatlipoca (1950 LA)",4.3,816,0.245,1980,Tezcatlipoca,,Y,N,0,13.81,,,,,,,,0.25,7.24612,,0.955,0.455,,Sl,SU,,,921,2461000.5,61000,2025-11-21.0,J2000,0.3647,1.709,1.086,26.87,246.54,115.47,211.50,2.33,0.441,2461337.24,2026-10-23.7,2.23,95.4,3.41,4,6.2e-10,3.6e-10,1.2e-09,5.3e-08,1.0e-07,1.8e-07,5.6e-07,5.0e-10,1.4e-10,1.4e-06,2.6e-07,AMO,"Otto Matic",27371,1950-06-19,2025-05-27,8203,,,0,.30164,,,,,,,,,
