"spkid","full_name","diameter","per","moid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per_y","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20234341,"234341 (2001 FZ57)",0.344,335,0.157,234341,,,Y,N,0,18.93,,,,,,,,0.493,,,,,,,,,0.06,140,2461000.5,61000,2025-11-21.0,J2000,0.6042,0.9442,0.374,20.67,22.08,339.98,165.90,1.51,1.074,2460846.07,2025-06-19.5,0.918,61.2,3.95,6.15,5.6e-08,5.2e-09,5.4e-08,7.2e-06,7.5e-06,1.1e-05,1.8e-05,8.4e-09,9.0e-09,1.6e-05,2.8e-06,ATE,"Otto Matic",12369,1991-04-18,2025-02-27,541,,,0,.47548,,,,-2.5e-14,6.6e-15,,,,
20235086,"235086 (2003 HW11)",1.024,1.32e+03,0.247,235086,,,Y,N,0,17.35,,,,,,,,0.168,6.385,,,,,,,,0.32,"JPL 161",2461000.5,61000,2025-11-21.0,J2000,0.4658,2.352,1.256,7.40,150.39,154.24,59.38,3.45,0.2733,2460783.23,2025-04-17.7,3.61,96.1,1.85,3.39,2.0e-08,6.0e-09,4.8e-08,3.8e-06,3.2e-05,3.2e-05,6.7e-06,8.8e-09,1.0e-09,2.4e-05,5.1e-06,AMO,"Otto Matic",8211,2003-04-03,2025-09-25,739,,,0,.5022,,,,,,,,,
20235700,"235700 (2004 TR13)",,1.05e+03,0.0768,235700,,,Y,N,0,18.56,,,,,,,,,,,,,,,,,,41,2461000.5,61000,2025-11-21.0,J2000,0.7291,2.018,0.547,17.83,12.04,250.08,152.36,3.49,0.3439,2460557.42,2024-09-03.9,2.87,29.9,2.02,3.39,7.8e-08,8.9e-09,1.6e-07,2.2e-05,3.1e-05,3.0e-05,2.2e-05,1.5e-08,2.3e-09,6.2e-05,6.9e-06,APO,"Otto Matic",7324,2004-10-10,2024-10-29,156,,,0,.50862,,,,,,,,,
20235756,"235756 (2004 VC)",1.136,441,0.0351,235756,,,Y,Y,0,18.58,,,,,,,,0.042,7.18,,,,,,,,0.03,93,2461000.5,61000,2025-11-21.0,J2000,0.2589,1.133,0.840,39.14,194.15,94.18,224.56,1.43,0.8168,2461166.31,2026-05-05.8,1.21,13.6,3.85,5.29,4.4e-09,2.1e-09,4.0e-09,5.5e-07,7.0e-07,4.6e-07,8.6e-06,2.6e-09,2.2e-09,1.1e-05,1.2e-06,APO,"Otto Matic",10956,1992-10-22,2022-10-21,395,1,0,0,.50587,,,,,,,,,
20236716,"236716 (2007 FV42)",,1.17e+03,0.123,236716,,,Y,N,0,17.92,,,,,,,,,2.687,,,,,,,,,158,2461000.5,61000,2025-11-21.0,J2000,0.4750,2.174,1.142,9.86,100.90,181.89,262.81,3.21,0.3074,2461316.66,2026-10-03.1,3.21,48,1.96,3.51,2.2e-08,1.5e-09,4.8e-08,3.3e-06,1.6e-05,1.7e-05,4.1e-06,2.2e-09,3.2e-10,1.4e-05,1.2e-06,AMO,"Otto Matic",11755,1991-09-05,2023-11-11,1032,,,0,.3465,,,,,,,,,
20237442,"237442 (1999 TA10)",,675,0.303,237442,,,Y,N,0,18.16,,,,,,,,,5.101,,,,,,,,,212,2461000.5,61000,2025-11-21.0,J2000,0.2416,1.506,1.142,20.84,214.64,84.79,102.87,1.87,0.5335,2460807.67,2025-05-12.1,1.85,118,3.41,4.43,1.9e-08,1.1e-09,2.9e-08,5.5e-06,6.0e-06,1.2e-05,9.0e-06,1.4e-09,5.8e-10,1.7e-05,7.4e-07,AMO,"Otto Matic",8868,1999-10-05,2024-01-15,1099,,,0,.44136,,,,,,,,,
20237551,"237551 (2000 WQ19)",0.630,609,0.193,237551,,,Y,N,0,18.43,,,,,,,,0.234,,,,,,,,,0.04,119,2461000.5,61000,2025-11-21.0,J2000,0.3470,1.406,0.918,34.27,38.78,270.72,49.63,1.89,0.591,2460916.53,2025-08-29.0,1.67,75,3.63,4.51,6.9e-08,2.3e-09,9.7e-08,2.5e-06,3.4e-06,1.1e-05,1.2e-05,3.1e-09,1.5e-09,2.0e-05,1.5e-06,APO,"Otto Matic",9166,2000-04-12,2025-05-17,456,,,0,.52863,,,,,,,,,
20237805,"237805 (2002 CF26)",0.703,742,0.0923,237805,,,Y,N,0,17.40,,,,,,,,0.430,3.7756,,,,,,,,0.23,287,2461000.5,61000,2025-11-21.0,J2000,0.3411,1.604,1.057,35.30,342.07,33.62,6.23,2.15,0.4851,2460987.67,2025-11-08.1,2.03,35.9,3.39,4.09,5.8e-10,2.8e-10,9.8e-10,2.5e-07,3.1e-07,5.0e-07,1.5e-07,3.8e-10,1.3e-10,3.1e-07,1.9e-07,AMO,"Otto Matic",10049,1998-02-24,2025-08-30,3119,1,0,0,.3553,,,,,,,,,
20238063,"238063 (2003 EG)",1.470,837,0.363,238063,,,Y,N,0,16.57,,,,,,,,0.225,7.23,,,,,,,,0.30,149,2461000.5,61000,2025-11-21.0,J2000,0.7137,1.738,0.498,31.79,359.02,326.94,270.16,2.98,0.4302,2461209.33,2026-06-17.8,2.29,141,2.61,3.68,4.5e-08,6.3e-09,7.8e-08,7.4e-06,8.1e-06,9.3e-06,1.5e-05,1.1e-08,2.3e-09,3.5e-05,4.6e-06,APO,"Otto Matic",10604,1996-03-17,2025-03-29,700,,,0,.51044,,,,,,,,,
20238456,"238456 (2004 RK)",0.328,598,0.165,238456,,,Y,N,0,19.43,,,,,,,,0.312,,,,,,,,,0.04,122,2461000.5,61000,2025-11-21.0,J2000,0.3003,1.389,0.972,18.15,178.75,264.47,277.72,1.81,0.6022,2461137.13,2026-04-06.6,1.64,64,3.54,4.68,2.2e-08,1.4e-09,3.0e-08,4.4e-06,6.7e-06,9.6e-06,7.5e-06,1.8e-09,8.9e-10,1.2e-05,8.8e-07,APO,"Otto Matic",14179,1986-10-02,2025-07-28,579,,,0,.5382,,,,,,,,,
20239849,"239849 (1999 VO11)",0.450,1.24e+03,0.0707,239849,,,Y,N,0,18.65,,,,,,,,0.317,,,,,,,,,0.06,26,2461000.5,61000,2025-11-21.0,J2000,0.6339,2.256,0.826,15.75,67.44,72.37,225.49,3.69,0.2909,2461462.87,2027-02-26.3,3.39,27.5,1.74,3.29,1.3e-07,1.1e-08,2.9e-07,3.3e-05,3.8e-05,5.9e-05,1.3e-05,1.7e-08,2.1e-09,4.6e-05,8.7e-06,APO,"Otto Matic",6221,1999-11-07,2016-11-18,205,,,0,.52702,,,,,,,,,
20240320,"240320 (2003 HS42)",,644,0.275,240320,,,Y,N,0,20.28,,,,,,,,,,,,,,,,,,47,2461000.5,61000,2025-11-21.0,J2000,0.1213,1.459,1.282,15.82,38.24,192.35,282.86,1.64,0.5593,2461138.43,2026-04-07.9,1.76,107,3.34,4.58,5.9e-08,3.3e-09,8.7e-08,7.1e-06,1.5e-05,3.2e-05,3.6e-05,3.7e-09,1.9e-09,6.5e-05,2.2e-06,AMO,"Otto Matic",9294,1998-09-22,2024-03-03,177,,,0,.61767,,,,,,,,,
20241370,"241370 (2008 LW8)",0.764,792,0.142,241370,,,Y,N,0,17.42,,,,,,,,0.224,10.83,,,,,,,,0.24,216,2461000.5,61000,2025-11-21.0,J2000,0.3935,1.676,1.016,17.27,223.10,118.61,355.90,2.34,0.4544,2461009.52,2025-11-30.0,2.17,55.4,3.24,4.1,2.9e-08,2.9e-09,4.9e-08,4.5e-06,9.9e-06,1.1e-05,5.3e-06,4.0e-09,1.2e-09,1.2e-05,2.0e-06,APO,"Otto Matic",10040,1997-11-26,2025-05-23,975,,,0,.44609,,,,,,,,,
20241596,"241596 (1998 XM2)",1.548,886,0.414,241596,,,Y,N,0,17.24,,,,,,,,0.105,8.75,,,,,,,,0.01,191,2461000.5,61000,2025-11-21.0,J2000,0.3401,1.805,1.191,27.10,248.52,99.11,73.30,2.42,0.4064,2460820.12,2025-05-24.6,2.43,161,3.38,3.87,2.1e-09,3.3e-09,2.3e-09,1.9e-07,2.9e-07,9.3e-07,4.6e-06,4.5e-09,1.1e-09,1.1e-05,2.5e-06,AMO,"Otto Matic",25479,1952-08-20,2022-05-24,1075,,,0,.41453,,,,,,,,,
20241662,"241662 (2000 KO44)",0.898,904,0.224,241662,,,Y,N,0,17.66,,,,,,,,0.200,2.42,,,,,,,,0.01,120,2461000.5,61000,2025-11-21.0,J2000,0.3884,1.83,1.119,28.62,114.31,235.34,50.39,2.54,0.3981,2460873.94,2025-07-17.4,2.48,87.1,3.06,3.8,3.3e-09,3.7e-09,5.3e-09,5.3e-07,4.0e-07,6.8e-07,4.6e-06,5.2e-09,1.2e-09,1.1e-05,2.8e-06,AMO,"Otto Matic",9128,2000-05-30,2025-05-27,541,,,0,.52858,,,,,,,,,
20242147,"242147 (2003 BH84)",1.687,1e+03,0.301,242147,,,Y,N,0,17.03,,,,,,,,0.108,46.32,,,,,,,,0.01,101,2461000.5,61000,2025-11-21.0,J2000,0.7202,1.958,0.548,23.35,283.21,35.54,221.51,3.37,0.3596,2461385.57,2026-12-11.0,2.74,117,2.16,3.44,4.4e-08,5.7e-09,8.7e-08,8.7e-06,1.4e-05,1.6e-05,9.3e-06,9.8e-09,1.6e-09,2.7e-05,4.4e-06,APO,"Otto Matic",8003,2003-01-25,2024-12-23,492,,,0,.38444,,,,,,,,,
20242187,"242187 (2003 KR18)",0.605,1.31e+03,0.234,242187,,,Y,N,0,17.99,,,,,,,,0.334,,,,,,,,,0.08,173,2461000.5,61000,2025-11-21.0,J2000,0.4801,2.347,1.220,5.58,244.03,86.85,73.56,3.47,0.2741,2460732.17,2025-02-25.6,3.6,91.2,1.96,3.39,3.8e-08,3.2e-09,8.9e-08,4.3e-06,3.8e-05,4.1e-05,9.1e-06,4.8e-09,5.7e-10,3.3e-05,2.7e-06,AMO,"Otto Matic",14122,1985-09-08,2024-05-08,993,,,0,.4204,,,,,,,,,
20242191,"242191 (2003 NZ6)",0.370,258,0.0666,242191,,,Y,N,0,19.02,,,,,,,,0.334,13.531,,,,,,,,0.03,121,2461000.5,61000,2025-11-21.0,J2000,0.4923,0.7934,0.403,18.25,124.58,311.63,131.91,1.18,1.395,2460905.91,2025-08-18.4,0.707,25.9,4.1,7.2,4.0e-08,3.5e-09,3.1e-08,7.3e-06,1.1e-05,1.2e-05,2.3e-05,5.2e-09,9.2e-09,1.6e-05,1.7e-06,ATE,"Otto Matic",7996,2003-07-09,2025-05-30,647,2,1,0,.3593,,,,2.9e-14,3.6e-15,,,,
20242211,"242211 (2003 QB90)",,1.29e+03,0.21,242211,,,Y,N,0,18.19,,,,,,,,,,,,,,,,,,116,2461000.5,61000,2025-11-21.0,J2000,0.4753,2.319,1.217,4.84,129.29,208.90,115.33,3.42,0.279,2460587.16,2024-10-03.6,3.53,81.9,1.98,3.41,4.4e-08,6.8e-09,1.1e-07,4.1e-06,4.3e-05,4.3e-05,6.1e-06,1.0e-08,1.2e-09,2.0e-05,5.7e-06,AMO,"Otto Matic",7826,2003-08-26,2025-01-28,445,,,0,.52502,,,,,,,,,
20242216,"242216 (2003 RN10)",,1.22e+03,0.00605,242216,,,Y,Y,0,15.61,,,,,,,,,,,,,,,,,,192,2461000.5,61000,2025-11-21.0,J2000,0.5418,2.231,1.022,39.67,267.14,4.95,246.42,3.44,0.2957,2461384.54,2026-12-10.0,3.33,2.36,1.69,3.18,9.5e-09,2.1e-09,2.1e-08,2.6e-07,2.9e-07,4.1e-07,1.2e-06,3.3e-09,4.3e-10,4.4e-06,1.8e-06,AMO,"Otto Matic",7802,2003-09-13,2025-01-22,1107,,,0,.55334,,,,,,,,,
20242450,"242450 (2004 QY2)",2.914,412,0.0479,242450,,,Y,Y,0,14.64,,,,,,,,0.274,,,,,,,,,0.08,294,2461000.5,61000,2025-11-21.0,J2000,0.4771,1.084,0.567,37.03,295.27,104.99,224.11,1.60,0.8735,2461156.08,2026-04-25.5,1.13,18.6,4.05,5.44,3.9e-09,4.3e-10,4.4e-09,8.2e-08,2.9e-07,2.8e-07,1.4e-06,6.3e-10,5.2e-10,1.7e-06,2.4e-07,APO,"Otto Matic",7597,2004-08-20,2025-06-08,3745,1,0,0,.24202,,,,,,,,,
20242643,"242643 (2005 NZ6)",1.989,907,0.00548,242643,,,Y,Y,0,17.39,,,,,,,,0.041,7.,,,,,,,,0.48,130,2461000.5,61000,2025-11-21.0,J2000,0.8652,1.833,0.247,8.41,38.77,48.99,36.32,3.42,0.3971,2460909.02,2025-08-21.5,2.48,2.13,1.91,3.43,1.5e-08,1.7e-09,2.7e-08,6.9e-06,1.2e-05,1.3e-05,3.9e-06,3.2e-09,5.6e-10,9.7e-06,1.3e-06,APO,Giorgini,7303,2005-07-03,2025-07-01,757,6,3,0,.27423,,,,,,,,,
20242708,"242708 (2005 UK1)",,1.45e+03,0.011,242708,,,Y,Y,0,18.12,,,,,,,,,63.8,,,,,,,,,"JPL 140",2461000.5,61000,2025-11-21.0,J2000,0.6954,2.502,0.762,0.79,180.30,345.93,338.08,4.24,0.2491,2461088.48,2026-02-16.9,3.96,4.3,0.751,3.08,9.7e-09,6.8e-09,2.5e-08,4.0e-06,4.7e-04,4.7e-04,4.8e-06,1.2e-08,1.0e-09,2.0e-05,5.9e-06,APO,"Otto Matic",7281,2005-10-24,2025-09-30,611,3,2,0,.47474,,,,,,,,,
20243025,"243025 (2006 UM216)",2.123,1.6e+03,0.314,243025,,,Y,N,0,16.05,,,,,,,,0.139,31.73,,,,,,,,0.78,186,2461000.5,61000,2025-11-21.0,J2000,0.5237,2.674,1.274,15.89,251.05,146.68,143.48,4.07,0.2254,2460363.95,2024-02-23.4,4.37,122,1.52,3.12,4.4e-08,1.4e-08,1.2e-07,4.8e-06,2.1e-05,2.1e-05,4.9e-06,2.2e-08,1.8e-09,1.8e-05,1.3e-05,AMO,"Otto Matic",25995,1954-01-31,2025-04-03,870,,,0,.37734,,,,,,,,,
20243147,"243147 (2007 TX18)",0.912,1.14e+03,0.234,243147,,,Y,N,0,17.39,,,,,,,,0.280,13.538,,,,,,,,0.01,161,2461000.5,61000,2025-11-21.0,J2000,0.4156,2.137,1.249,7.36,284.08,16.01,337.91,3.03,0.3154,2461070.53,2026-01-30.0,3.12,91.2,2.22,3.59,5.1e-08,1.7e-08,1.2e-07,4.1e-06,3.0e-05,3.1e-05,2.0e-05,2.4e-08,3.7e-09,6.3e-05,1.3e-05,AMO,"Otto Matic",12404,1991-04-13,2025-03-29,756,,,0,.43231,,,,,,,,,
20243298,"243298 (2008 EN82)",,1.44e+03,0.121,243298,,,Y,N,0,15.66,,,,,,,,,,,,,,,,,,106,2461000.5,61000,2025-11-21.0,J2000,0.5566,2.499,1.108,12.02,206.95,194.90,236.49,3.89,0.2495,2461495.50,2027-03-30.9,3.95,46.9,1.55,3.21,5.0e-08,2.5e-08,1.3e-07,5.8e-06,1.8e-05,2.4e-05,3.5e-05,3.9e-08,3.8e-09,1.5e-04,2.2e-05,AMO,"Otto Matic",9234,2000-03-06,2025-06-17,464,,,0,.45949,,,,,,,,,
20243566,"243566 (1995 SA)",0.881,1.41e+03,0.0398,243566,,,Y,Y,0,17.37,,,,,,,,0.091,2.313,,,,,,,,0.02,120,2461000.5,61000,2025-11-21.0,J2000,0.6417,2.462,0.882,19.58,168.84,54.50,357.67,4.04,0.2551,2461009.63,2025-11-30.1,3.86,15.5,1.4,3.11,2.1e-08,2.1e-08,5.2e-08,1.0e-05,1.1e-05,1.2e-05,1.2e-05,3.4e-08,3.2e-09,4.7e-05,1.8e-05,APO,"Otto Matic",11554,1991-03-07,2022-10-24,577,,,0,.41629,,,,,,,,,
20244670,"244670 (2003 KN18)",,845,0.0927,244670,,,Y,N,0,18.21,,,,,,,,,20.887,,,,,,,,,"JPL 112",2461000.5,61000,2025-11-21.0,J2000,0.4857,1.749,0.899,11.90,168.66,354.77,316.02,2.60,0.4261,2461103.72,2026-03-04.2,2.31,36.1,2.39,3.97,3.0e-08,5.6e-09,5.2e-08,3.7e-06,2.1e-05,2.1e-05,6.0e-06,8.4e-09,2.1e-09,1.5e-05,4.1e-06,APO,"Otto Matic",13297,1989-05-03,2025-09-28,587,,,0,.56845,,,,,,,,,
20244977,"244977 (2004 BE68)",0.495,853,0.0108,244977,,,Y,Y,0,18.36,,,,,,,,0.235,,,,,,,,,0.17,113,2461000.5,61000,2025-11-21.0,J2000,0.4446,1.761,0.978,15.74,210.87,191.28,152.24,2.54,0.4218,2460639.61,2024-11-25.1,2.34,4.2,2.89,3.96,5.4e-08,2.2e-09,9.6e-08,6.2e-06,1.9e-05,2.0e-05,4.1e-06,3.1e-09,7.8e-10,9.5e-06,1.6e-06,APO,"Otto Matic",7697,2004-01-27,2025-02-22,532,,,0,.50325,,,,,,,,,
20246138,"246138 (2007 OG3)",0.588,1.16e+03,0.12,246138,,,Y,N,0,18.25,,,,,,,,0.269,,,,,,,,,0.17,60,2461000.5,61000,2025-11-21.0,J2000,0.4814,2.165,1.123,1.69,78.32,272.01,269.02,3.21,0.3095,2461294.47,2026-09-10.9,3.18,46.6,2.22,3.53,5.0e-08,9.5e-09,1.1e-07,7.8e-06,1.7e-04,1.7e-04,1.6e-05,1.4e-08,2.0e-09,5.3e-05,7.6e-06,AMO,"Otto Matic",18043,1975-10-29,2025-03-23,300,,,0,.4581,,,,,,,,,
20247156,"247156 (2000 YH29)",1.655,1.21e+03,0.271,247156,,,Y,N,0,18.16,,,,,,,,0.033,,,,,,,,,0.02,48,2461000.5,61000,2025-11-21.0,J2000,0.5272,2.218,1.049,21.85,103.66,284.87,212.34,3.39,0.2983,2461495.50,2027-03-31.0,3.3,105,2.51,3.38,9.2e-08,7.9e-09,2.0e-07,2.1e-05,1.8e-05,2.8e-05,2.1e-05,1.2e-08,1.6e-09,7.3e-05,6.4e-06,AMO,"Otto Matic",8495,2000-12-23,2024-03-27,282,,,0,.466,,,,,,,,,
20247360,"247360 (2001 XU)",,1.51e+03,0.00576,247360,,,Y,Y,0,19.36,,,,,,,,,,,,,,,,,,23,2461000.5,61000,2025-11-21.0,J2000,0.8368,2.573,0.420,19.08,260.96,286.08,277.09,4.73,0.2388,2461347.76,2026-11-03.2,4.13,2.24,1.59,2.75,7.3e-08,2.3e-08,1.8e-07,2.1e-05,2.1e-05,2.3e-05,2.3e-05,4.3e-08,3.2e-09,9.9e-05,2.1e-05,APO,"Otto Matic",4652,2001-12-07,2014-09-02,124,,,0,.62721,,,,,,,,,
20247517,"247517 (2002 QY6)",0.269,270,0.106,247517,,,Y,N,0,19.64,,,,,,,,0.357,,,,,,,,,0.01,"JPL 125",2461000.5,61000,2025-11-21.0,J2000,0.6991,0.8171,0.246,12.75,164.17,355.41,341.62,1.39,1.334,2461014.27,2025-12-04.7,0.739,41.2,3.6,6.92,4.5e-08,3.3e-09,3.7e-08,6.3e-06,8.5e-06,1.0e-05,1.0e-05,5.6e-09,8.1e-09,7.7e-06,1.6e-06,ATE,"Otto Matic",8450,2002-08-16,2025-10-04,620,,,0,.52067,,,,-2.5e-14,3.8e-15,,,,
20248083,"248083 (2004 QU24)",2.358,2.22e+03,0.539,248083,,,Y,N,0,16.13,,,,,,,,0.126,4.66,,,,,,,,0.51,254,2461000.5,61000,2025-11-21.0,J2000,0.6136,3.329,1.286,23.36,187.62,272.14,162.58,5.37,0.1623,2459998.80,2023-02-23.3,6.07,210,1.77,2.72,4.0e-08,1.2e-08,1.4e-07,8.1e-06,9.1e-06,1.2e-05,5.0e-06,1.9e-08,8.6e-10,2.8e-05,1.2e-05,AMO,"Otto Matic",11372,1993-04-18,2024-06-06,1298,,,0,.45354,,,,,,,,,
20248590,"248590 (2006 CS)",4.726,1.82e+03,0.101,248590,,,Y,N,0,16.32,,,,,,,,0.018,,,,,,,,,0.84,"JPL 130",2461000.5,61000,2025-11-21.0,J2000,0.6969,2.916,0.884,52.31,172.41,346.41,338.06,4.95,0.198,2461111.34,2026-03-11.8,4.98,39.1,0.333,2.44,3.0e-08,8.1e-09,8.6e-08,9.3e-06,1.6e-05,1.5e-05,4.0e-06,1.4e-08,8.2e-10,2.0e-05,7.6e-06,APO,"Otto Matic",10687,1996-06-20,2025-09-23,499,,,0,.43099,,,,,,,,,
20248818,"248818 (2006 SZ217)",,790,0.217,248818,,,Y,N,0,17.43,,,,,,,,,3.59,,,,,,,,,207,2461000.5,61000,2025-11-21.0,J2000,0.2852,1.673,1.196,29.22,241.35,163.09,317.96,2.15,0.4555,2461092.79,2026-02-21.2,2.16,84.6,3.26,4.06,3.4e-08,1.7e-09,5.7e-08,5.7e-06,5.6e-06,9.3e-06,6.4e-06,2.1e-09,6.8e-10,1.4e-05,1.2e-06,AMO,"Otto Matic",10239,1997-08-03,2025-08-15,2495,,,0,.26231,,,,,,,,,
20248926,"248926 (2006 WZ2)",2.907,806,0.276,248926,,,Y,N,0,17.13,,,,,,,,0.040,8.45,,,,,,,,0.23,226,2461000.5,61000,2025-11-21.0,J2000,0.3301,1.694,1.135,24.65,354.35,66.01,260.80,2.25,0.4468,2461222.51,2026-07-01.0,2.21,107,3.42,4.05,3.2e-09,2.1e-09,6.4e-09,3.9e-07,3.5e-07,5.6e-07,2.2e-06,2.8e-09,8.3e-10,5.2e-06,1.5e-06,AMO,"Otto Matic",8800,1998-03-20,2022-04-23,4004,,,0,.29429,,,,,,,,,
20249595,"249595 (1997 GH28)",,1.04e+03,0.307,249595,,,Y,N,0,17.70,,,,,,,,,19.696,,,,,,,,,144,2461000.5,61000,2025-11-21.0,J2000,0.3708,2.004,1.261,7.02,354.36,105.36,73.21,2.75,0.3474,2460789.78,2025-04-24.2,2.84,119,2.48,3.74,3.2e-08,6.7e-09,6.3e-08,4.9e-06,2.5e-05,2.6e-05,1.1e-05,9.1e-09,1.7e-09,3.1e-05,5.2e-06,AMO,"Otto Matic",11322,1993-10-09,2024-10-08,561,,,0,.46931,,,,,,,,,
20249615,"249615 (1999 TB5)",,1.01e+03,0.334,249615,,,Y,N,0,19.05,,,,,,,,,,,,,,,,,,44,2461000.5,61000,2025-11-21.0,J2000,0.3937,1.968,1.193,30.43,195.58,238.77,141.66,2.74,0.3571,2460603.76,2024-10-20.2,2.76,130,3,3.62,3.8e-08,5.1e-09,7.5e-08,1.9e-05,1.1e-05,4.3e-05,3.1e-05,7.1e-09,1.4e-09,8.5e-05,3.9e-06,AMO,"Otto Matic",9311,1999-10-02,2025-03-30,207,,,0,.46033,,,,,,,,,
20249816,"249816 (2001 FD90)",,1.07e+03,0.0972,249816,,,Y,N,0,19.32,,,,,,,,,,,,,,,,,,98,2461000.5,61000,2025-11-21.0,J2000,0.4787,2.045,1.066,7.30,202.19,47.74,122.55,3.02,0.3369,2460636.76,2024-11-22.2,2.93,37.8,2.04,3.64,3.5e-08,1.7e-08,6.9e-08,5.6e-06,2.8e-05,3.2e-05,3.6e-05,2.5e-08,4.2e-09,1.0e-04,1.3e-05,AMO,"Otto Matic",6796,2001-03-19,2019-10-27,400,,,0,.52919,,,,,,,,,
20249886,"249886 (2001 RY11)",1.201,660,0.197,249886,,,Y,N,0,17.62,,,,,,,,0.051,,,,,,,,,0.04,187,2461000.5,61000,2025-11-21.0,J2000,0.2834,1.483,1.063,22.85,295.49,71.55,124.77,1.90,0.5457,2460771.86,2025-04-06.3,1.81,76.6,3.67,4.45,5.1e-09,1.5e-09,8.5e-09,3.2e-07,8.2e-07,1.4e-06,1.5e-06,1.9e-09,8.2e-10,2.4e-06,9.9e-07,AMO,"Otto Matic",11602,1992-08-03,2024-05-09,1799,,,0,.38821,,,,,,,,,
20250162,"250162 (2002 TY57)",,973,0.302,250162,,,Y,N,1,19.64,,,,,,,,,2.5001,,,,,,,,,94,2461000.5,61000,2025-11-21.0,J2000,0.3272,1.922,1.293,3.46,118.94,259.95,244.17,2.55,0.3699,2461313.60,2026-09-30.1,2.66,117,2.91,3.85,7.3e-08,2.0e-09,1.4e-07,3.1e-06,9.5e-05,9.7e-05,1.0e-05,2.7e-09,5.9e-10,2.7e-05,1.5e-06,AMO,"Otto Matic",7147,2002-08-04,2022-02-27,717,,,0,.40796,,,,,,,,,
20250458,"250458 (2004 BO41)",0.630,375,0.0897,250458,,,Y,N,0,18.00,,,,,,,,0.282,16.19,,,,,,,,0.24,130,2461000.5,61000,2025-11-21.0,J2000,0.4929,1.019,0.517,35.55,337.73,254.46,35.94,1.52,0.9588,2460963.01,2025-10-14.5,1.03,34.9,3.78,5.74,2.7e-08,3.3e-09,2.7e-08,7.8e-07,2.2e-06,9.5e-07,1.5e-05,4.9e-09,4.6e-09,1.5e-05,1.8e-06,APO,"Otto Matic",7273,2004-01-19,2023-12-18,879,1,1,0,.33549,,,,,,,,,
20250577,"250577 (2005 AC)",,393,0.0743,250577,,,Y,N,0,18.36,,,,,,,,,,,,,,,,,,59,2461000.5,61000,2025-11-21.0,J2000,0.5178,1.05,0.506,46.88,315.76,285.59,89.73,1.59,0.9162,2460902.56,2025-08-15.0,1.08,28.9,4.02,5.48,7.2e-08,2.7e-09,7.6e-08,3.2e-05,1.5e-05,1.5e-05,1.6e-05,4.1e-09,3.5e-09,1.7e-05,1.5e-06,APO,"Otto Matic",7251,2004-12-15,2024-10-22,303,1,0,0,.45512,,,,,,,,,
20250614,"250614 (2005 GG)",1.617,1.07e+03,0.251,250614,,,Y,N,0,16.22,,,,,,,,0.269,,,,,,,,,0.06,133,2461000.5,61000,2025-11-21.0,J2000,0.6595,2.042,0.695,34.84,106.38,335.29,40.87,3.39,0.3378,2460879.51,2025-07-23.0,2.92,97.6,2.04,3.32,2.6e-09,3.1e-10,5.3e-09,2.2e-07,8.6e-07,1.0e-06,2.6e-07,5.1e-10,7.6e-11,7.5e-07,2.4e-07,APO,"Otto Matic",6670,2005-04-01,2023-07-06,571,,,0,.56048,,,,,,,,,
20250620,"250620 (2005 GE59)",0.654,1.12e+03,0.0317,250620,,,Y,Y,0,18.07,,,,,,,,0.260,5.354,,,,,,,,0.14,142,2461000.5,61000,2025-11-21.0,J2000,0.6025,2.109,0.838,16.08,194.72,243.06,325.49,3.38,0.3219,2461107.71,2026-03-08.2,3.06,12.3,2.19,3.44,2.2e-08,6.6e-09,4.5e-08,8.5e-06,1.5e-05,1.5e-05,8.2e-06,1.1e-08,1.5e-09,2.6e-05,5.2e-06,APO,"Otto Matic",7462,2005-01-18,2025-06-24,643,,,0,.45651,,,,,,,,,
20250680,"250680 (2005 QC5)",0.398,308,0.0477,250680,,,Y,Y,0,19.63,,,,,,,,0.147,,,,,,,,,0.01,40,2461000.5,61000,2025-11-21.0,J2000,0.3645,0.893,0.567,9.45,48.05,108.71,171.96,1.22,1.168,2460853.26,2025-06-26.7,0.844,18.6,3.78,6.59,1.5e-07,1.9e-09,1.4e-07,1.0e-05,5.3e-05,5.8e-05,3.0e-05,2.7e-09,3.8e-09,2.6e-05,1.0e-06,ATE,"Otto Matic",16106,1978-09-24,2022-10-29,125,,,0,.53807,,,,,,,,,
